Beat,Offense,Count
R2,All Other Larceny,1
D3,Identity Theft,1
Q3,All Other Larceny,1
Q2,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
D2,All Other Larceny,1
L2,Shoplifting,1
B1,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
Q3,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
Q2,Theft From Motor Vehicle,1
B1,All Other Larceny,1
R2,All Other Larceny,1
R2,Shoplifting,1
B2,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
U2,Destruction/Damage/Vandalism of Property,1
K3,Destruction/Damage/Vandalism of Property,1
L2,Theft From Building,1
B1,Identity Theft,1
L2,Theft From Building,1
E1,Robbery,1
K3,Theft of Motor Vehicle Parts or Accessories,1
B2,Shoplifting,1
U3,Shoplifting,1
K3,Identity Theft,1
B2,Shoplifting,1
U2,Shoplifting,1
Q2,Theft of Motor Vehicle Parts or Accessories,1
U2,Robbery,1
L2,Theft From Building,1
B3,Shoplifting,1
B2,Destruction/Damage/Vandalism of Property,1
D3,Identity Theft,1
B1,Theft From Motor Vehicle,1
U1,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
U3,Shoplifting,1
B3,All Other Larceny,1
D3,All Other Larceny,1
U3,All Other Larceny,1
Q2,Destruction/Damage/Vandalism of Property,1
B1,Theft From Motor Vehicle,1
U1,Motor Vehicle Theft,1
Q2,Theft From Building,1
B2,Theft From Motor Vehicle,1
B2,Motor Vehicle Theft,1
B1,Theft From Building,1
E1,Theft From Motor Vehicle,1
Q2,Motor Vehicle Theft,1
B3,All Other Larceny,1
E1,Theft From Motor Vehicle,1
U3,Theft From Motor Vehicle,1
B1,Theft From Motor Vehicle,1
D3,Theft From Motor Vehicle,1
L2,Theft From Building,1
R2,Shoplifting,1
U1,Destruction/Damage/Vandalism of Property,1
E1,Destruction/Damage/Vandalism of Property,1
R2,Destruction/Damage/Vandalism of Property,1
U3,Identity Theft,1
Q2,Motor Vehicle Theft,1
L2,Theft of Motor Vehicle Parts or Accessories,1
D2,Theft From Motor Vehicle,1
Q2,Destruction/Damage/Vandalism of Property,1
L2,Theft From Building,1
U1,Theft From Motor Vehicle,1
E1,Robbery,1
D3,All Other Larceny,1
L2,Destruction/Damage/Vandalism of Property,1
Q2,Theft From Motor Vehicle,1
K3,Theft From Motor Vehicle,1
R2,Theft From Motor Vehicle,1
B2,Theft From Motor Vehicle,1
D2,Destruction/Damage/Vandalism of Property,1
D2,Theft of Motor Vehicle Parts or Accessories,1
B1,Destruction/Damage/Vandalism of Property,1
Q3,All Other Larceny,1
Q3,Theft From Motor Vehicle,1
Q2,Destruction/Damage/Vandalism of Property,1
B2,Theft From Motor Vehicle,1
Q2,All Other Larceny,1
Q2,All Other Larceny,1
Q2,Theft From Motor Vehicle,1
U2,Theft From Motor Vehicle,1
B3,Motor Vehicle Theft,1
